,抽样地点_2*,食品亚类,所在省份*
577,超市,鲜蛋,河北
917,超市,鲜蛋,河北
2746,超市,鲜蛋,海南
2961,农贸市场,鲜蛋,海南
3183,超市,畜禽肉及副产品,天津
5919,超市,水产品,天津
6359,超市,蔬菜,重庆
7923,超市,水产品,江西
8460,超市,蔬菜,重庆
11588,农贸市场,畜禽肉及副产品,内蒙古
13585,其他,蔬菜,内蒙古
23835,农贸市场,蔬菜,海南
24406,农贸市场,蔬菜,海南
24639,农贸市场,蔬菜,海南
34640,农贸市场,蔬菜,海南
34749,超市,水产品,重庆
34792,农贸市场,水产品,重庆
37899,超市,蔬菜,宁夏
49615,农贸市场,水产品,山西
49966,农贸市场,蔬菜,海南
50574,农贸市场,蔬菜,海南
50587,农贸市场,蔬菜,海南
50603,农贸市场,蔬菜,海南
50635,农贸市场,蔬菜,海南
50955,超市,蔬菜,海南
51103,农贸市场,蔬菜,海南
51584,超市,鲜蛋,山西
51757,超市,蔬菜,海南
52516,超市,蔬菜,海南
53864,农贸市场,蔬菜,海南
55085,超市,鲜蛋,山西
56197,超市,蔬菜,海南
57174,超市,水产品,山西
58944,超市,鲜蛋,青海
59411,农贸市场,蔬菜,海南
64135,农贸市场,水产品,内蒙古
65026,其他,水果类,甘肃
67503,农贸市场,蔬菜,海南
70584,超市,蔬菜,四川
72505,超市,蔬菜,四川
72769,超市,畜禽肉及副产品,四川
72791,超市,畜禽肉及副产品,四川
79008,超市,畜禽肉及副产品,四川
81493,其他,蔬菜,山东
82145,农贸市场,水产品,北京
85096,超市,蔬菜,四川
85470,超市,蔬菜,四川
86266,超市,水产品,四川
88240,超市,鲜蛋,西藏
90074,农贸市场,畜禽肉及副产品,新疆
92596,超市,蔬菜,山东
94768,超市,水产品,重庆
100238,农贸市场,水产品,重庆
102234,菜市场,蔬菜,上海
102246,菜市场,蔬菜,上海
104421,农贸市场,蔬菜,青海
106592,批发市场,水产品,北京
108091,批发市场,鲜蛋,北京
116360,农贸市场,蔬菜,上海
117648,农贸市场,蔬菜,上海
121120,批发市场,水产品,辽宁
121460,批发市场,水产品,辽宁
121799,农贸市场,畜禽肉及副产品,四川
122103,农贸市场,蔬菜,上海
122297,农贸市场,畜禽肉及副产品,四川
123209,农贸市场,蔬菜,上海
127144,农贸市场,水产品,上海
127834,超市,畜禽肉及副产品,重庆
136367,农贸市场,水产品,上海
136415,批发市场,水产品,辽宁
143041,超市,蔬菜,海南
145718,农贸市场,畜禽肉及副产品,海南
146579,超市,畜禽肉及副产品,贵州
147431,超市,畜禽肉及副产品,贵州
149128,超市,鲜蛋,辽宁
149130,超市,鲜蛋,辽宁
151682,批发市场,水产品,浙江
161333,菜市场,蔬菜,广西
164729,批发市场,水产品,浙江
165677,超市,生干坚果与籽类食品,重庆
172477,超市,蔬菜,海南
174652,农贸市场,畜禽肉及副产品,海南
179871,超市,水产品,湖北
181510,超市,鲜蛋,湖北
182488,超市,生干坚果与籽类食品,江西
190259,农贸市场,畜禽肉及副产品,新疆
193382,超市,畜禽肉及副产品,湖北
194136,超市,畜禽肉及副产品,湖北
195516,农贸市场,畜禽肉及副产品,海南
201205,超市,生干坚果与籽类食品,山西
205746,超市,水产品,安徽
210560,农贸市场,生干坚果与籽类食品,海南
213564,超市,蔬菜,宁夏
219436,批发市场,畜禽肉及副产品,上海
221705,批发市场,畜禽肉及副产品,上海
221940,超市,蔬菜,海南
225307,农贸市场,水产品,上海
226401,超市,水产品,安徽
229127,批发市场,水产品,浙江
229829,超市,水产品,安徽
229837,超市,水产品,安徽
230294,批发市场,水产品,浙江
230819,农贸市场,生干坚果与籽类食品,青海
231239,农贸市场,水产品,四川
231613,农贸市场,水产品,四川
234559,超市,水产品,湖南
236632,批发市场,蔬菜,浙江
238629,农贸市场,畜禽肉及副产品,浙江
239453,批发市场,蔬菜,浙江
241126,超市,蔬菜,天津
246785,农贸市场,畜禽肉及副产品,上海
246786,农贸市场,畜禽肉及副产品,上海
247067,超市,畜禽肉及副产品,四川
247509,农贸市场,畜禽肉及副产品,上海
249278,农贸市场,畜禽肉及副产品,上海
250966,超市,蔬菜,上海
252139,批发市场,生干坚果与籽类食品,浙江
256177,菜市场,蔬菜,四川
258451,菜市场,蔬菜,四川
262022,农贸市场,蔬菜,上海
264918,超市,畜禽肉及副产品,安徽
268749,超市,水产品,安徽
268800,超市,水产品,安徽
269607,批发市场,蔬菜,天津
273913,超市,蔬菜,山西
274033,超市,蔬菜,山西
274639,批发市场,畜禽肉及副产品,浙江
275903,批发市场,水产品,浙江
277677,批发市场,畜禽肉及副产品,浙江
281248,农贸市场,蔬菜,新疆
281712,超市,蔬菜,广西
285521,农贸市场,蔬菜,广西
286569,超市,蔬菜,广西
289346,农贸市场,水产品,海南
295200,超市,蔬菜,湖南
298397,批发市场,畜禽肉及副产品,浙江
298884,批发市场,畜禽肉及副产品,浙江
299152,批发市场,水产品,浙江
301333,批发市场,蔬菜,浙江
302261,批发市场,水产品,浙江
303787,农贸市场,畜禽肉及副产品,内蒙古
305172,小食杂店,蔬菜,西藏
305478,批发市场,畜禽肉及副产品,浙江
305797,超市,水产品,上海
305876,农贸市场,水产品,西藏
307226,小食杂店,蔬菜,西藏
308348,小食杂店,蔬菜,西藏
315217,超市,蔬菜,陕西
315963,超市,生干坚果与籽类食品,广西
321116,批发市场,鲜蛋,浙江
322833,超市,畜禽肉及副产品,北京
324230,农贸市场,蔬菜,上海
328390,农贸市场,畜禽肉及副产品,西藏
330051,农贸市场,畜禽肉及副产品,江苏
331202,农贸市场,蔬菜,江苏
332886,超市,水产品,上海
332980,超市,水产品,上海
333062,超市,水产品,海南
333109,超市,水产品,海南
335100,超市,蔬菜,海南
337142,菜市场,蔬菜,天津
337172,菜市场,蔬菜,天津
337389,超市,蔬菜,上海
338176,小食杂店,蔬菜,上海
340704,超市,蔬菜,云南
341693,菜市场,蔬菜,天津
341723,菜市场,蔬菜,天津
345029,菜市场,蔬菜,天津
345032,菜市场,蔬菜,天津
350754,超市,蔬菜,云南
354216,商场,蔬菜,云南
355019,农贸市场,畜禽肉及副产品,云南
355276,农贸市场,蔬菜,上海
355880,超市,蔬菜,云南
356744,农贸市场,畜禽肉及副产品,云南
358512,农贸市场,畜禽肉及副产品,西藏
358676,农贸市场,水果类,云南
358737,超市,畜禽肉及副产品,陕西
358758,农贸市场,畜禽肉及副产品,西藏
358793,超市,鲜蛋,青海
358812,农贸市场,畜禽肉及副产品,西藏
359840,菜市场,水果类,青海
360991,超市,水果类,广西
361144,超市,蔬菜,辽宁
361422,超市,蔬菜,广西
362171,超市,水果类,广西
